solvent,solute,deltaG,logK
c1ccncc1,CCC(=O)C,-0.20209000000000002,3.4160000000000004
c1ccncc1,CCCCOC(=O)C,-0.25095,4.242
c1ccncc1,CC#N,-0.19227,3.25
c1ccncc1,C[N+](=O)[O-],-0.21859,3.695
c1ccncc1,CO,-0.20014,3.383
c1ccncc1,CCO,-0.21777,3.681
c1ccncc1,CCCO,-0.24261,4.101
c1ccncc1,CCCCO,-0.26965,4.558
c1ccncc1,c1ccccc1,-0.19558,3.306
c1ccncc1,Cc1ccccc1,-0.22214,3.755
c1ccncc1,CCc1ccccc1,-0.24977,4.2219999999999995
c1ccncc1,c1ccc(cc1)Cl,-0.25255,4.269
c1ccncc1,CCCCCCCCCC,-0.24995,4.225
c1ccncc1,CC(C)O,-0.2151,3.636
c1ccncc1,Cc1ccc(cc1)C,-0.24983000000000002,4.223
c1ccncc1,c1ccncc1,-0.23918000000000003,4.043
c1ccncc1,CCCCCl,-0.18759,3.1710000000000003
c1ccncc1,CCCC=C,-0.11714000000000001,1.98
c1ccncc1,CC(C)CO,-0.26100999999999996,4.412
c1ccncc1,CCC(C)O,-0.24468,4.136
c1ccncc1,CC(C)(C)O,-0.21978000000000003,3.715
c1ccncc1,CCCCCC=C,-0.17967,3.037
c1ccncc1,Cc1ccccc1C,-0.25995,4.394
c1ccncc1,CC(C)CCC(C)C,-0.17511,2.96
c1ccncc1,C1CCC=CC1,-0.1786,3.0189999999999997
c1ccncc1,CC(CCl)Cl,-0.217,3.668
c1ccncc1,CCCCCOC(=O)C,-0.27876,4.712
c1ccncc1,Cc1cccc(c1)C,-0.25184,4.257
c1ccncc1,c1ccc(cc1)F,-0.20345,3.4389999999999996
c1ccncc1,c1ccc(cc1)Br,-0.27474,4.644
c1ccncc1,CCCCCCCCCCC,-0.28036,4.739
c1ccncc1,c1ccc(c(c1)Cl)Cl,-0.30627,5.1770000000000005
c1ccncc1,CCCCCCC(=O)C,-0.30893000000000004,5.222
c1ccncc1,c1ccc(cc1)I,-0.31945999999999997,5.4
c1ccncc1,CC(C)CC(=O)C,-0.23995,4.056
c1ccncc1,CCCCCC#C,-0.20422,3.452
c1ccncc1,CC(C)Br,-0.17138,2.897
CC(=O)O,[Ar],0.03922,-0.6629999999999999
CC(=O)O,[Kr],0.02248,-0.38
CC(=O)O,[Xe],-0.01272,0.215
CC(=O)O,[Rn],-0.03822,0.6459999999999999
CC(=O)O,[HH],0.07092999999999999,-1.199
CC(=O)O,O=O,0.042,-0.71
CC(=O)O,N#N,0.05466,-0.924
CC(=O)O,[N-]=[N+]=O,-0.03893,0.6579999999999999
CC(=O)O,[C-]#[O+],0.045610000000000005,-0.7709999999999999
CC(=O)O,C(=O)=O,-0.04029,0.6809999999999999
CC(=O)O,C,0.02248,-0.38
CC(=O)O,CC,-0.01633,0.276
CC(=O)O,CCC,-0.04135,0.6990000000000001
CC(=O)O,CCCC,-0.05242,0.8859999999999999
CC(=O)O,CC(C)C,-0.056729999999999996,0.9590000000000001
CC(=O)O,CCCCC,-0.08927,1.5090000000000001
CC(=O)O,CCCCCC,-0.11577,1.9569999999999999
CC(=O)O,CCCCCCC,-0.13826,2.3369999999999997
CC(=O)O,CCCCCCCC,-0.17387,2.9389999999999996
CC(=O)O,C1CCCC1,-0.11365,1.921
CC(=O)O,C1CCCCC1,-0.13944,2.3569999999999998
CC(=O)O,C=C,-0.03236,0.547
CC(=O)O,CC=C,-0.058039999999999994,0.981
CC(=O)O,C/C=C/C,-0.09891,1.672
CC(=O)O,C=CC=C,-0.10578,1.788
CC(=O)O,C1COCCO1,-0.25415,4.296
CC(=O)O,CCC(=O)C,-0.21209,3.585
CC(=O)O,CC#N,-0.17393,2.94
CC(=O)O,C[N+](=O)[O-],-0.20984,3.5469999999999997
CC(=O)O,CCO,-0.2254,3.81
CC(=O)O,c1ccccc1,-0.16707,2.824
CC(=O)O,Cc1ccccc1,-0.1986,3.3569999999999998
CC(=O)O,CC(C)CC(C)(C)C,-0.13417,2.2680000000000002
CC(=O)O,C1CC1,-0.07259,1.227
CC(=O)O,CC(=C)C,-0.09093,1.537
CC(=O)O,CC(C)(C)Cl,-0.13269,2.2430000000000003
CC(=O)O,CC(C)(C)Br,-0.14867,2.513
CC(=O)O,S,-0.06484,1.0959999999999999
CC(=O)O,CCF,-0.06093,1.03
CC(=O)O,ClCl,-0.08707999999999999,1.472
CC(=O)O,[O-][O+]=O,-0.0155,0.262
CC(=O)O,P,-0.02982,0.504
CCCCOC(=O)C,[HH],0.06525,-1.103
CCCCOC(=O)C,N#N,0.04727,-0.799
CCCCOC(=O)C,[N-]=[N+]=O,-0.0423,0.715
CCCCOC(=O)C,[C-]#[O+],0.03792,-0.6409999999999999
CCCCOC(=O)C,CCCCC,-0.12743,2.154
CCCCOC(=O)C,CCCCCC,-0.15559,2.63
CCCCOC(=O)C,CCCC(C)C,-0.14748,2.4930000000000003
CCCCOC(=O)C,CCCCCCC,-0.18339,3.1
CCCCOC(=O)C,CC(C)CC(C)C,-0.16517,2.792
CCCCOC(=O)C,CCCCCCCC,-0.21049,3.5580000000000003
CCCCOC(=O)C,CC(C)C(C)C(C)C,-0.19759000000000002,3.34
CCCCOC(=O)C,CCCCCCCCC,-0.23806,4.024
CCCCOC(=O)C,C1CCCCC1,-0.16949,2.865
CCCCOC(=O)C,CCC1CCCCC1,-0.21629,3.656
CCCCOC(=O)C,C(Cl)(Cl)(Cl)Cl,-0.18458,3.12
CCCCOC(=O)C,CCCCOC(=O)C,-0.24195999999999998,4.09
CCCCOC(=O)C,CCCO,-0.20173,3.41
CCCCOC(=O)C,CCCCCO,-0.27213000000000004,4.6
CCCCOC(=O)C,CCCCCCO,-0.29639,5.01
CCCCOC(=O)C,c1ccccc1,-0.16801,2.84
CCCCOC(=O)C,Cc1ccccc1,-0.23840999999999998,4.03
CCCCOC(=O)C,CCCCCCCCCCCCCCCCCC,-0.51764,8.75
CCCCOC(=O)C,Cc1ccc(cc1)C,-0.26444,4.47
CCCCOC(=O)C,CC(C)CO,-0.21001999999999998,3.55
CCCCOC(=O)C,CCC(C)O,-0.21238,3.59
CCCCOC(=O)C,CCCCCC=C,-0.18575999999999998,3.14
CCCCOC(=O)C,Cc1ccccc1C,-0.26976999999999995,4.56
CCCCOC(=O)C,CC(C)CCO,-0.25084,4.24
CCCCOC(=O)C,C1CCC(CC1)O,-0.30645,5.18
CCCCOC(=O)C,CC(C)CCC(C)C,-0.19321,3.266
CCCCOC(=O)C,Cc1cccc(c1)C,-0.26266999999999996,4.44
CCCCOC(=O)C,C=CCCCC=C,-0.19168,3.24
CCCCOC(=O)C,C(C(CCl)O)Cl,-0.32893,5.56
c1ccc(cc1)N,[Xe],0.016390000000000002,-0.27699999999999997
c1ccc(cc1)N,[Rn],-0.03218,0.544
c1ccc(cc1)N,[HH],0.0914,-1.545
c1ccc(cc1)N,O=O,0.07217,-1.22
c1ccc(cc1)N,N#N,0.08542999999999999,-1.444
c1ccc(cc1)N,[N-]=[N+]=O,-0.00881,0.149
c1ccc(cc1)N,[C-]#[O+],0.07549,-1.276
c1ccc(cc1)N,C(=O)=O,-0.00722,0.122
c1ccc(cc1)N,C,0.04567,-0.772
c1ccc(cc1)N,CC,-0.00976,0.165
c1ccc(cc1)N,CCC,-0.03425,0.579
c1ccc(cc1)N,CCCC,-0.060579999999999995,1.024
c1ccc(cc1)N,CC(C)C,-0.04662,0.7879999999999999
c1ccc(cc1)N,CCCCC,-0.07833,1.324
c1ccc(cc1)N,CCCCCC,-0.10092999999999999,1.706
c1ccc(cc1)N,CCCCCCC,-0.12914,2.1830000000000003
c1ccc(cc1)N,CCCCCCCC,-0.15292999999999998,2.585
c1ccc(cc1)N,C1CCCC1,-0.11069000000000001,1.871
c1ccc(cc1)N,C1CCCCC1,-0.13068,2.209
c1ccc(cc1)N,CCC1CCCCC1,-0.16884000000000002,2.8539999999999996
c1ccc(cc1)N,C=C,-0.00645,0.109
c1ccc(cc1)N,CC=C,-0.04668,0.789
c1ccc(cc1)N,C=CC=C,-0.08945,1.5119999999999998
c1ccc(cc1)N,CCCl,-0.11483,1.9409999999999998
c1ccc(cc1)N,C(Cl)Cl,-0.1492,2.522
c1ccc(cc1)N,C(Cl)(Cl)Cl,-0.16813,2.842
c1ccc(cc1)N,C(Cl)(Cl)(Cl)Cl,-0.15269000000000002,2.5810000000000004
c1ccc(cc1)N,CI,-0.13305,2.249
c1ccc(cc1)N,CCI,-0.16133,2.727
c1ccc(cc1)N,CCOCC,-0.16369,2.767
c1ccc(cc1)N,C1COCCO1,-0.24604,4.159
c1ccc(cc1)N,CC(=O)C,-0.17931,3.031
c1ccc(cc1)N,CCC(=O)C,-0.21101999999999999,3.5669999999999997
c1ccc(cc1)N,CC#N,-0.20303,3.432
c1ccc(cc1)N,C[N+](=O)[O-],-0.21811999999999998,3.687
c1ccc(cc1)N,CO,-0.1673,2.8280000000000003
c1ccc(cc1)N,CCO,-0.18641,3.1510000000000002
c1ccc(cc1)N,CCCCO,-0.2335,3.947
c1ccc(cc1)N,c1ccccc1,-0.17677,2.988
c1ccc(cc1)N,Cc1ccccc1,-0.20114,3.4
c1ccc(cc1)N,c1ccc(cc1)Cl,-0.22374000000000002,3.782
c1ccc(cc1)N,CCBr,-0.13624,2.303
c1ccc(cc1)N,CCOC(=O)C,-0.1883,3.1830000000000003
c1ccc(cc1)N,CC(C)CC(C)(C)C,-0.12180999999999999,2.059
c1ccc(cc1)N,CCCCCl,-0.16588,2.804
c1ccc(cc1)N,CC(C)(C)Cl,-0.12696,2.146
c1ccc(cc1)N,CCCC=C,-0.08939,1.511
c1ccc(cc1)N,CCCCC=C,-0.11565999999999999,1.955
c1ccc(cc1)N,CCCCl,-0.13607,2.3
c1ccc(cc1)N,CCCCCC=C,-0.14056,2.376
c1ccc(cc1)N,Cc1ccccc1C,-0.23403000000000002,3.9560000000000004
c1ccc(cc1)N,CC1CCCCC1,-0.1437,2.4290000000000003
c1ccc(cc1)N,CCC(C)C,-0.06685,1.13
c1ccc(cc1)N,CCCCCCC=C,-0.16523,2.793
c1ccc(cc1)N,C1CCC=CC1,-0.15145,2.56
c1ccc(cc1)N,S,-0.07382999999999999,1.248
c1ccc(cc1)N,c1ccc(cc1)N,-0.32406999999999997,5.478
c1ccc(cc1)N,CCC=C(C)C,-0.1208,2.042
c1ccc(cc1)N,CCC(=C)C,-0.08625,1.4580000000000002
c1ccc(cc1)N,CCCC(=C)C,-0.11625,1.965
CCOCCO,[HH],0.07354,-1.2429999999999999
CCOCCO,CC(C)C,-0.06277,1.061
CCOCCO,CCCCCC,-0.13139,2.221
CCOCCO,CCCCCCC,-0.156,2.637
CCOCCO,CCCCCCCC,-0.18037999999999998,3.049
CCOCCO,CCCCCCCCC,-0.20515999999999998,3.468
CCOCCO,C1CCCCC1,-0.15139,2.559
CCOCCO,CC(=O)OC,-0.15991,2.7030000000000003
CCOCCO,CCCOC(=O)C,-0.2041,3.45
CCOCCO,CO,-0.18807000000000001,3.179
CCOCCO,CCO,-0.19795,3.346
CCOCCO,CCCO,-0.23131,3.91
CCOCCO,c1ccccc1,-0.17895999999999998,3.025
CCOCCO,Cc1ccccc1,-0.20385999999999999,3.446
CCOCCO,CCc1ccccc1,-0.22486,3.801
CCOCCO,c1ccc(cc1)Cl,-0.23521999999999998,3.9760000000000004
CCOCCO,CCCCCCCCCC,-0.2254,3.81
CCOCCO,CC(C)O,-0.21126,3.571
CCOCCO,Cc1ccc(cc1)C,-0.22528,3.8080000000000003
CCOCCO,CCOC(=O)C,-0.17967,3.037
CCOCCO,CC(C)(C)Cl,-0.14399,2.434
CCOCCO,CC1CCCC1,-0.14204,2.401
CCOCCO,Cc1ccccc1C,-0.23433,3.9610000000000003
CCOCCO,CC1CCCCC1,-0.16446,2.78
CCOCCO,C1CCC=CC1,-0.16174000000000002,2.734
CCOCCO,COC=O,-0.13346,2.256
CCOCCO,CCC(=O)OCC,-0.19877999999999998,3.36
CCOCCO,Cc1cccc(c1)C,-0.22705,3.838
CCOCCO,c1ccc(cc1)F,-0.19014,3.214
CCOCCO,c1ccc(cc1)Br,-0.25788,4.359
CCOCCO,CCCCCCCCCCC,-0.24758000000000002,4.185
CCOCCO,CCOCCO,-0.2703,4.569
CCOCCO,c1ccc(c(c1)Cl)Cl,-0.28686,4.849
CCOCCO,C1CCCCCCC1,-0.21315,3.603
CCOCCO,C=CCCCCC=C,-0.18930999999999998,3.2
CCOCCO,C=CC1CCC=CC1,-0.20298,3.431
CCOCCO,Cc1ccc(cc1)C(C)C,-0.2593,4.383
CCCCCCCCCO,[He],0.10311,-1.743
CCCCCCCCCO,[Ne],0.0943,-1.594
CCCCCCCCCO,[Ar],0.04242,-0.7170000000000001
CCCCCCCCCO,[Kr],0.013609999999999999,-0.23
CCCCCCCCCO,[Xe],-0.02207,0.373
CCCCCCCCCO,[HH],0.07797,-1.318
CCCCCCCCCO,O=O,0.04614,-0.78
CCCCCCCCCO,N#N,0.0617,-1.043
CCCCCCCCCO,C,0.02295,-0.38799999999999996
CCCCCCCCCO,C(F)(F)(F)F,0.057210000000000004,-0.9670000000000001
CCCCCCCCCO,CCCC#N,-0.17670999999999998,2.987
CCCCCCCCCO,CCCCCCCCO,-0.36661,6.197
CCCCCCCCCO,CCCCCCCCCO,-0.39098,6.609
CCCCCCCCCO,FS(F)(F)(F)(F)F,0.01881,-0.318
CCCCCCCCCO,CCCCCCCCCCO,-0.41802,7.066
c1ccc(cc1)F,[He],0.08992,-1.52
c1ccc(cc1)F,[Ne],0.08282,-1.4
c1ccc(cc1)F,[Ar],0.03135,-0.53
c1ccc(cc1)F,[Kr],0.00355,-0.06
c1ccc(cc1)F,[Xe],-0.03135,0.53
c1ccc(cc1)F,O=O,0.02426,-0.41
c1ccc(cc1)F,CCCCCCCC,-0.22361999999999999,3.78
c1ccc(cc1)F,C1COCCO1,-0.22361999999999999,3.78
c1ccc(cc1)F,CCC(=O)C,-0.20114,3.4
c1ccc(cc1)F,C[N+](=O)[O-],-0.19404000000000002,3.28
c1ccc(cc1)F,CCO,-0.1408,2.38
c1ccc(cc1)F,Cc1ccccc1,-0.22658000000000003,3.83
c1ccc(cc1)F,c1ccc(cc1)F,-0.20114,3.4
CCCCCCCCCCO,[He],0.10340999999999999,-1.7480000000000002
CCCCCCCCCCO,[Ne],0.09501,-1.6059999999999999
CCCCCCCCCCO,[Ar],0.04307,-0.728
CCCCCCCCCCO,[Kr],0.015619999999999998,-0.264
CCCCCCCCCCO,[Xe],-0.02153,0.364
CCCCCCCCCCO,[HH],0.07927000000000001,-1.34
CCCCCCCCCCO,O=O,0.047389999999999995,-0.8009999999999999
CCCCCCCCCCO,N#N,0.06312000000000001,-1.067
CCCCCCCCCCO,[N-]=[N+]=O,-0.02366,0.4
CCCCCCCCCCO,[C-]#[O+],0.053779999999999994,-0.909
CCCCCCCCCCO,C(=O)=O,-0.005679999999999999,0.096
CCCCCCCCCCO,C,0.02414,-0.408
CCCCCCCCCCO,CCCCCCCC,-0.19665,3.324
CCCCCCCCCCO,C1CCCCC1,-0.14812999999999998,2.504
CCCCCCCCCCO,C(F)(F)(F)F,0.0588,-0.9940000000000001
CCCCCCCCCCO,CCOCC,-0.12719,2.15
CCCCCCCCCCO,CC(C)OC(C)C,-0.1489,2.517
CCCCCCCCCCO,CC(C)(C)OC,-0.16174000000000002,2.734
CCCCCCCCCCO,CCCC#N,-0.16979,2.87
CCCCCCCCCCO,CO,-0.14967,2.53
CCCCCCCCCCO,CCO,-0.17765999999999998,3.003
CCCCCCCCCCO,CCCO,-0.20795,3.515
CCCCCCCCCCO,CCCCO,-0.24816999999999997,4.195
CCCCCCCCCCO,CCCCCO,-0.27692,4.681
CCCCCCCCCCO,CCCCCCO,-0.30313,5.124
CCCCCCCCCCO,CCCCCCCCCO,-0.38868,6.57
CCCCCCCCCCO,FS(F)(F)(F)(F)F,0.02035,-0.344
CCCCCCCCCCO,c1ccccc1,-0.15588,2.635
CCCCCCCCCCO,CC(C)O,-0.19463,3.29
CCCCCCCCCCO,CC(C)CC(C)(C)C,-0.1692,2.86
CCCCCCCCCCO,CCCCCl,-0.15914,2.69
CCCCCCCCCCO,CCCCCCCCCCO,-0.41589,7.03
CCCCCCCCCCO,CC(C)CO,-0.23551,3.9810000000000003
CCCCCCCCCCO,CCC(C)O,-0.23048000000000002,3.8960000000000004
CCCCCCCCCCO,CCCCBr,-0.18162,3.07
CCCCCCCCCCO,CC(C)CCO,-0.26787,4.5280000000000005
CCCCCCCCCCO,C1CCC(CC1)O,-0.32461,5.487
CCCCCCCCCCO,C(CCl)O,-0.24846999999999997,4.2
CCCCCCCCCCO,C(CCl)C(O)Cl,-0.30349,5.13
CCCCCCCCCCO,CCCCCCCCCCCCCCCCCCCCCCCC,-0.66063,11.167
CCCCCCCCCCO,CCCCCCCCCCCO,-0.44547,7.53
CCCCC(CC)CO,[HH],0.07128999999999999,-1.205
CCCCC(CC)CO,CCCCC(CC)CO,-0.17304,2.925
CC(=O)N(C)C,[Ar],0.05147,-0.87
CC(=O)N(C)C,[C-]#[O+],0.058570000000000004,-0.99
CC(=O)N(C)C,O=S=O,-0.15263,2.58
CC(=O)N(C)C,CC,-0.02071,0.35
CC(=O)N(C)C,CCC,-0.047330000000000004,0.8
CC(=O)N(C)C,CCCC,-0.07572000000000001,1.28
CC(=O)N(C)C,CCCCC,-0.10057,1.7
CC(=O)N(C)C,CCCCCC,-0.12423,2.1
CC(=O)N(C)C,CCCC(C)C,-0.11477000000000001,1.94
CC(=O)N(C)C,CCCCCCC,-0.15086,2.55
CC(=O)N(C)C,CC(C)CC(C)C,-0.12838,2.17
CC(=O)N(C)C,CCCCCCCC,-0.17097,2.89
CC(=O)N(C)C,CC(C)C(C)C(C)C,-0.15972999999999998,2.7
CC(=O)N(C)C,CCCCCCCCC,-0.19523,3.3
CC(=O)N(C)C,C1CCCCC1,-0.14731,2.49
CC(=O)N(C)C,CCC1CCCCC1,-0.18220999999999998,3.08
CC(=O)N(C)C,C=C,-0.01952,0.33
CC(=O)N(C)C,C/C=C/C,-0.09406,1.59
CC(=O)N(C)C,C=CC=C,-0.11122,1.88
CC(=O)N(C)C,CCCl,-0.12719,2.15
CC(=O)N(C)C,C(Cl)Cl,-0.18813,3.18
CC(=O)N(C)C,C(Cl)(Cl)Cl,-0.22480999999999998,3.8
CC(=O)N(C)C,C(Cl)(Cl)(Cl)Cl,-0.19582,3.31
CC(=O)N(C)C,CI,-0.15736,2.66
CC(=O)N(C)C,CCI,-0.17215,2.91
CC(=O)N(C)C,CCOCC,-0.12187,2.06
CC(=O)N(C)C,CC(C)OC(C)C,-0.1479,2.5
CC(=O)N(C)C,CCOC(C)(C)C,-0.15322,2.59
CC(=O)N(C)C,CCC(C)(C)OC,-0.16979,2.87
CC(=O)N(C)C,CC(C)(C)OC,-0.14257,2.41
CC(=O)N(C)C,C1CCOC1,-0.17156,2.9
CC(=O)N(C)C,C1COCCO1,-0.21652,3.66
CC(=O)N(C)C,CC(=O)C,-0.17097,2.89
CC(=O)N(C)C,CCC(=O)C,-0.19404000000000002,3.28
CC(=O)N(C)C,CC(=O)OC,-0.16328,2.76
CC(=O)N(C)C,CCCOC(=O)C,-0.20469,3.46
CC(=O)N(C)C,CCCCOC(=O)C,-0.22716999999999998,3.84
CC(=O)N(C)C,CC#N,-0.20824,3.52
CC(=O)N(C)C,CCC#N,-0.21652,3.66
CC(=O)N(C)C,C[N+](=O)[O-],-0.23781999999999998,4.02
CC(=O)N(C)C,CO,-0.21179,3.58
CC(=O)N(C)C,CCO,-0.22599,3.82
CC(=O)N(C)C,CCCCO,-0.27036,4.57
CC(=O)N(C)C,C(C(F)(F)F)O,-0.29521,4.99
CC(=O)N(C)C,FS(F)(F)(F)(F)F,0.03313,-0.56
CC(=O)N(C)C,c1ccccc1,-0.19345,3.27
CC(=O)N(C)C,Cc1ccccc1,-0.21593,3.65
CC(=O)N(C)C,CCc1ccccc1,-0.23664000000000002,4.0
CC(=O)N(C)C,c1ccc(cc1)Cl,-0.21711,3.67
CC(=O)N(C)C,CCBr,-0.14908,2.52
CC(=O)N(C)C,CC(C)O,-0.22954000000000002,3.88
CC(=O)N(C)C,c1ccncc1,-0.24965,4.22
CC(=O)N(C)C,CCOC(=O)C,-0.18044000000000002,3.05
CC(=O)N(C)C,CC(C)(C)Cl,-0.13429000000000002,2.27
CC(=O)N(C)C,CC(C)(C)Br,-0.15263,2.58
CC(=O)N(C)C,CCCC=C,-0.10175,1.72
CC(=O)N(C)C,CC(C)C=C,-0.09229,1.56
CC(=O)N(C)C,CC(=C)C=C,-0.12542,2.12
CC(=O)N(C)C,C(CCl)Cl,-0.21711,3.67
CC(=O)N(C)C,CC(C)CO,-0.26208000000000004,4.43
CC(=O)N(C)C,CCC(C)O,-0.25556999999999996,4.32
