deltaG,solute,solvent
-7.66,COc1cccc(c1)O,O
-3.15,c1cc2cccc3c2c(c1)CC3,O
0.52,CCCCCCCCBr,O
-6.62,c1ccc(cc1)CO,O
-18.17,c1c(c(=O)[nH]c(=O)[nH]1)Br,O
2.1,CCCC,O
-0.55,CCl,O
-0.03,CC(C)CBr,O
-1.21,CC(C)SC(C)C,O
2.67,CCCCCCC,O
-9.63,c1cnc[nH]1,O
-3.84,c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl,O
-9.73,CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br,O
-2.49,C(I)I,O
-4.13,CCCN(CCC)C(=O)SCCC,O
-4.02,C[N+](=O)[O-],O
-2.1,CCOC,O
-4.59,COC(CCl)(OC)OC,O
2.3,CC(C)C,O
-6.09,CC(C)CC(=O)O,O
-7.07,CCOP(=O)(OCC)O/C(=C/Cl)/c1ccc(cc1Cl)Cl,O
-0.33,CCCCl,O
-1.28,CCCSCCC,O
-4.06,CCC[C@H](CC)O,O
-3.88,CC#N,O
-1.92,CN(CC(F)(F)F)c1ccccc1,O
0.1,[C@@H](C(F)(F)F)(OC(F)F)Cl,O
1.01,C=CCCC=C,O
-0.83,Cc1cccc(c1)C,O
-3.13,CC(=O)OC,O
-4.04,COC(c1ccccc1)(OC)OC,O
-3.64,CCOC(=O)c1ccccc1,O
-1.1,CCCS,O
-3.04,CCCCCC(=O)C,O
-9.61,CC1(Cc2cccc(c2O1)OC(=O)NC)C,O
-2.38,c1ccc(cc1)CBr,O
-2.23,CCCCCC(=O)OCC,O
-1.66,CCCOC,O
-6.32,CN1CCOCC1,O
-9.65,c1cc(cc(c1)O)C#N,O
-4.38,c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,O
-0.53,CCCc1ccccc1,O
-12.64,Cn1cnc2c1c(=O)n(c(=O)n2C)C,O
-4.29,CNC,O
2.93,C(=C(F)F)(C(F)(F)F)F,O
-7.03,c1cc(ccc1O)Cl,O
-5.11,C1CCNCC1,O
-3.88,c1ccc2c(c1)ccc3c2cccc3,O
-0.89,CI,O
-6.44,COc1c(cc(c(c1O)OC)Cl)Cl,O
-0.78,C(=C/Cl)\Cl,O
2.3,CCCCC,O
-3.64,CCCC#N,O
0.5,[C@@H](C(F)(F)F)(F)Br,O
-5.04,CC(C)Cc1cnccn1,O
-1.82,CC[C@H](C)O[N+](=O)[O-],O
-2.46,c1ccc(cc1)c2cc(ccc2Cl)Cl,O
-3.48,c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl,O
2.52,CC[C@@H](C)C(C)C,O
-3.73,C[C@H](CC(C)C)O,O
-3.12,C1CCOCC1,O
0.75,C1CC1,O
-3.17,c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,O
0.25,C=C(Cl)Cl,O
-4.5,CC(C)CO,O
-2.44,CCCOC(=O)CC,O
-0.64,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,O
-2.73,CSc1ccccc1,O
-5.66,CCc1ccccc1O,O
1.09,CC(C)(C)Cl,O
0.68,CC(=C)C=C,O
-0.68,Cc1ccc(cc1)C(C)C,O
-8.41,Cn1ccnc1,O
-9.3,C(CO)O,O
-1.36,c1ccc(c(c1)Cl)Cl,O
-15.83,c1c(=O)[nH]c(=O)[nH]c1Cl,O
-2.48,CCCOC=O,O
-3.1,c1ccc2c(c1)Oc3ccc(cc3O2)Cl,O
-6.21,CCCCCC(=O)O,O
-5.71,CCOC(=O)CCC(=O)OCC,O
-4.86,Cc1ccnc(c1)C,O
0.14,C1CCC=CC1,O
-7.58,CN1CCN(CC1)C,O
-3.04,c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,O
-6.5,C1=CC(=O)C=CC1=O,O
-4.0,COC(=O)CCl,O
-3.18,CCCC=O,O
-0.79,CCc1ccccc1,O
-0.44,C(=C(Cl)Cl)Cl,O
-3.22,CCN(CC)CC,O
-4.15,c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,O
-5.22,Cc1ccncc1C,O
-18.06,c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,O
-4.02,c1ccc(cc1)C=O,O
-4.39,c1ccnc(c1)Cl,O
-0.57,C=CCCl,O
-4.7,Cc1ccc(cc1)C(=O)C,O
-2.75,C=O,O
-1.14,Cc1ccccc1Cl,O
-9.8,CC(=O)N1CCCC1,O
-4.42,CC(OC)(OC)OC,O
-0.4,CCCCc1ccccc1,O
-3.45,CN(C)c1ccccc1,O
-2.01,CC(C)OC,O
-4.53,c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,O
-2.98,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl,O
-1.99,C(C(Cl)Cl)Cl,O
-4.69,CNc1ccccc1,O
-2.64,CC(C)OC(=O)C,O
-0.9,c1ccccc1,O
-1.24,c1cc(c(c(c1)Cl)Cl)Cl,O
-6.5,CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,O
-10.03,COP(=S)(OC)SCn1c(=O)c2ccccc2nn1,O
-4.05,c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl,O
0.4,CC(=C)C(=C)C,O
1.58,CCCCC=C,O
-0.7,S,O
-1.59,CCOCC,O
-7.65,CCNc1nc(nc(n1)SC)NC(C)C,O
-8.72,CCCCOC(=O)c1ccc(cc1)O,O
-2.26,CCCCCCOC(=O)C,O
-4.7,C1CCC(=O)C1,O
-6.16,CCCCC(=O)O,O
-0.74,CCBr,O
-2.63,Cc1ccc2cc(ccc2c1)C,O
-4.4,CCCCCCO,O
-2.69,c1ccc(cc1)c2ccccc2Cl,O
0.67,CC1=CCCCC1,O
-1.66,CCCCCCO[N+](=O)[O-],O
-2.13,C(Br)(Br)Br,O
-6.13,CCc1ccc(cc1)O,O
-6.4,CCCOCCO,O
-3.82,c1ccc(cc1)OC=O,O
-18.72,c1c(c(=O)[nH]c(=O)[nH]1)I,O
-6.35,CCCC(=O)O,O
-0.8,COC(C(F)(F)F)(OC)OC,O
-20.52,C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,O
1.79,C(F)(F)(F)Br,O
-4.72,CCCCO,O
-0.8,c1ccc(cc1)F,O
-2.94,CCOC(=O)C,O
-1.69,CC(C)COC(=O)C(C)C,O
-2.21,CC(C)(C)OC,O
-2.55,C1=C[C@@H]([C@@H]2[C@H]1[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,O
-3.41,CCC(=O)CC,O
-1.1,COC(=O)C(F)(F)F,O
-2.4,c1ccc2ccccc2c1,O
-4.4,c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl,O
-9.94,CC(=O)Oc1ccccc1C(=O)O,O
-3.11,CC(=O)C(C)(C)C,O
-4.87,COS(=O)(=O)C,O
-4.73,CCc1ccncc1,O
-3.22,CC(C)NC(C)C,O
-3.67,c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl,O
-3.79,CCCCCCCN,O
1.59,CC1CCCC1,O
2.0,CCC,O
-3.3,C[C@H]1CCCO1,O
-9.45,CNC(=O)Oc1cccc2c1cccc2,O
-9.52,c1cc(cc(c1)O)C=O,O
-3.95,c1ccc2cc3ccccc3cc2c1,O
-1.31,C(Cl)Cl,O
-2.4,CC(C)(C)C(=O)OC,O
-1.45,C([N+](=O)[O-])(Cl)(Cl)Cl,O
-8.61,C1CC[S+2](C1)([O-])[O-],O
-5.26,Cc1cccc(c1O)C,O
-5.49,Cc1cccc(c1)O,O
-9.53,c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N,O
-11.85,c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N,O
-2.49,CCCCCCCC(=O)C,O
-4.24,CCCCN,O
-2.49,CCCC(=O)OCC,O
-5.57,Cc1ccc(cc1)N,O
0.08,CCCCCCI,O
1.77,C(C(F)(Cl)Cl)(F)(F)Cl,O
-8.7,COP(=O)(OC)OC,O
-0.98,c1cc(cc(c1)Cl)Cl,O
-2.47,Cc1cc(c2ccccc2c1)C,O
2.51,CCCC(C)C,O
-5.04,CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl,O
0.06,C(C(F)(F)F)Cl,O
1.28,C=C,O
-0.14,CCCCCI,O
-4.42,COC(OC)OC,O
3.16,CCCCCCCCCC,O
-4.95,C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],O
1.32,CC=C,O
-5.88,Cc1c[nH]c2c1cccc2,O
-12.74,COP(=O)([C@H](C(Cl)(Cl)Cl)O)OC,O
1.23,C1CCCCC1,O
-4.45,CC(=CCC/C(=C/CO)/C)C,O
-0.3,CC(C)c1ccccc1,O
2.56,CC(C)C(C)C(C)C,O
-3.24,CC(C)C(=O)C,O
-3.24,CCCCNCCCC,O
-0.99,CCCCS,O
-3.81,c1ccc2c(c1)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,O
-8.68,COc1c(c(c(c(c1Cl)C=O)Cl)OC)O,O
-4.59,C1CCC(CC1)N,O
-0.5,C(F)(F)Cl,O
-6.88,COC(=O)c1ccc(cc1)[N+](=O)[O-],O
-8.26,CC(=O)c1cccnc1,O
-0.48,CC#C,O
-2.07,CCCCCCCCC=O,O
-6.46,CCC(=O)O,O
-1.08,C(Cl)(Cl)Cl,O
-1.21,Cc1cccc(c1C)C,O
2.0,C,O
-1.93,c1ccc(cc1)CCl,O
1.7,CC1CCCCC1,O
-1.38,Cc1cccs1,O
-4.69,c1ccncc1,O
-0.16,CCCCCl,O
-2.92,C[C@H]1CC[C@@H](O1)C,O
-5.8,Cc1ccc(c(c1)OC)O,O
-3.44,C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,O
-0.9,Cc1ccccc1,O
-2.22,CC(C)COC=O,O
-9.2,CCOC(=O)c1ccc(cc1)O,O
-3.54,CCOCCOCC,O
-2.11,CCCCCOC(=O)CC,O
-5.21,CCCc1ccc(cc1)O,O
1.31,CC=C(C)C,O
-1.79,C(CCl)Cl,O
2.56,CCC(C)(C)CC,O
-2.78,Cc1cc2ccccc2cc1C,O
-4.59,Cc1cccc(n1)C,O
-1.12,COC(C(Cl)Cl)(F)F,O
-5.31,CCOCCOC(=O)C,O
-7.29,COc1cccc(c1)N,O
-7.1,c1cc(cnc1)C=O,O
-4.43,CCC(C)(C)O,O
-8.21,CCc1cccc(c1N(COC)C(=O)CCl)CC,O
-2.89,Cn1cccc1,O
-2.93,COCOC,O
-4.35,CCC(CC)O,O
-2.15,CCCCCCCCCC(=O)C,O
-1.95,C(CBr)Cl,O
-1.74,c1ccc(cc1)I,O
-5.18,CC1=CC(=O)CC(C1)(C)C,O
-0.74,CCI,O
-5.26,CCCc1ccc(c(c1)OC)O,O
-0.48,CC(C)Br,O
-1.39,Cc1ccc(cc1)Br,O
-10.17,c1cc(ccc1C#N)O,O
-10.08,CS(=O)(=O)C,O
-6.25,CCc1cccc(c1)O,O
-4.44,CC1=CC[C@H](C[C@@H]1O)C(=C)C,O
-2.3,c1cc(ccc1Br)Br,O
-9.86,COc1c(ccc(c1C(=O)O)Cl)Cl,O
1.31,CC/C=C\C,O
1.83,CC,O
-5.33,COc1ccccc1OC,O
-1.46,CCSCC,O
-6.75,c1cc(cnc1)C#N,O
-7.29,c1cc(c(cc1O)Cl)Cl,O
-2.45,COc1ccccc1,O
-5.91,Cc1ccc(c(c1)O)C,O
-1.01,c1cc(ccc1Cl)Cl,O
-0.77,C(F)Cl,O
1.68,CCCC=C,O
-1.34,c1cc(c(c(c1Cl)Cl)Cl)Cl,O
0.6,CCCCCC#C,O
-2.34,CCCCCCCCC(=O)C,O
-1.12,c1ccc(cc1)Cl,O
-9.34,CN(C)CCOC(c1ccccc1)c2ccccc2,O
-3.03,CCCCC=O,O
-2.87,c1ccc(cc1)Oc2ccccc2,O
-4.91,C1CCC(=O)CC1,O
-3.09,CCCC[N+](=O)[O-],O
-7.0,c1cnccc1C=O,O
-4.23,C(CCl)OCCCl,O
-3.71,CC[N+](=O)[O-],O
-4.01,c1cc(cnc1)Cl,O
-0.82,CBr,O
-5.1,CO,O
-2.67,CCCCCCC=O,O
-2.28,c1cc(c(c(c1)Cl)c2c(cccc2Cl)Cl)Cl,O
-7.37,c1ccc(c(c1)N)[N+](=O)[O-],O
-3.88,CN1CCCCC1,O
-2.29,CCCCCCCC=O,O
-4.12,c1ccc(cc1)[N+](=O)[O-],O
-2.53,C[C@@H]1CC[C@H](C(=O)C1)C(C)C,O
-25.47,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,O
-0.22,CF,O
-9.28,CS(=O)C,O
-3.15,c1ccc2c(c1)Oc3ccccc3O2,O
-5.53,Cc1ccccc1N,O
-0.4,CCCCBr,O
-3.88,CCCCCCCCCO,O
-4.93,Cc1ccncc1,O
0.1,C(=C(Cl)Cl)(Cl)Cl,O
0.84,CC(C)(C)Br,O
-2.78,C=C(c1ccccc1)c2ccccc2,O
-0.95,CCc1ccc(cc1)C,O
-4.77,Cc1cccnc1,O
-5.73,COCC(OC)(OC)OC,O
-3.35,c1ccc-2c(c1)Cc3c2cccc3,O
-9.71,CC(=O)N,O
-5.1,COS(=O)(=O)OC,O
-2.37,C(C(Cl)Cl)(Cl)Cl,O
-3.3,COC(=O)C1CCCCC1,O
0.18,CCCCCCBr,O
0.34,CCCCCCCBr,O
-3.52,c1ccc2c(c1)Oc3cccc(c3O2)Cl,O
-6.4,COC(CC#N)(OC)OC,O
0.0,CC[C@H](C)Cl,O
-0.04,CCCCCCc1ccccc1,O
-7.78,COc1cc(c(c(c1O)OC)Cl)C=O,O
1.07,c1cc(cc(c1)C(F)(F)F)C(F)(F)F,O
-7.63,c1ccc(cc1)Cn2ccnc2,O
-7.28,c1ccc2c(c1)cccc2N,O
-6.0,CCOC(=O)CC(=O)OCC,O
-4.61,CC(=O)C1CC1,O
-4.78,c1cc[nH]c1,O
-9.4,c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,O
2.11,CC1CCC(CC1)C,O
-5.46,C1CCC(CC1)O,O
-7.43,CN(C)CCC=C1c2ccccc2CCc3c1cccc3,O
-6.19,c1cc(ccc1O)F,O
-4.91,c1ccc(c(c1)N)Cl,O
-0.86,Cc1ccc(c(c1)C)C,O
-0.85,CCc1ccccc1C,O
-3.75,C[C@@H]1CC[C@H](CC1=O)C(=C)C,O
-2.7,c1ccc(cc1)c2ccccc2,O
-6.16,Cc1cccc(c1C)O,O
-7.19,COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-],O
-6.74,CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-],O
-5.66,CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],O
-1.61,CSC,O
-10.78,C[C@@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O,O
-5.49,C1CCC(C1)O,O
-2.56,CCCCC(=O)OC,O
1.47,CCCC(=C)C,O
-8.42,C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O,O
-7.98,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-],O
-0.59,C=CCl,O
-9.76,Cc1ccc(cc1)C(=O)N(C)C,O
-2.92,CCCC(=O)CCC,O
-3.92,COC(=O)c1ccccc1,O
-4.27,Cc1ccc(cc1)C=O,O
-2.28,CCCC(=O)OCCC,O
-7.4,C1CNCCN1,O
-5.74,CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O,O
-6.69,CCOCCO,O
2.51,CCC(C)CC,O
-5.51,Cc1cnccn1,O
-3.34,CCC[N+](=O)[O-],O
-0.9,Cc1cc(cc(c1)C)C,O
-16.92,c1c(c(=O)[nH]c(=O)[nH]1)F,O
-5.0,CCO,O
-2.82,Cc1ccc(c2c1cccc2)C,O
-3.37,c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl,O
-4.71,c1cc(c(c(c1)Cl)C#N)Cl,O
-2.56,CCOC=O,O
-1.34,c1c(c(cc(c1Cl)Cl)Cl)Cl,O
-5.23,CCOC(OCC)Oc1ccccc1,O
-9.62,c1cc(cc(c1)O)[N+](=O)[O-],O
-4.09,CCCCCCCCO,O
1.38,CCC=C,O
0.08,C(Cl)(Cl)(Cl)Cl,O
-6.79,c1ccc(cc1)CCO,O
-9.13,CN(C)C(=O)Nc1ccccc1,O
-1.83,CSSC,O
-9.01,C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,O
-8.84,CC(=O)OCC(COC(=O)C)OC(=O)C,O
-1.91,COC,O
2.48,CCCCCC,O
-2.33,C(CBr)Br,O
-1.23,C(C(Cl)(Cl)Cl)(Cl)Cl,O
-15.46,c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F,O
-5.21,Cc1cccc(c1N)C,O
-2.79,CCCOC(=O)C,O
-5.72,c1ccc2c(c1)cccn2,O
-1.14,CCS,O
-1.64,CCSSCC,O
-1.4,c1ccsc1,O
-2.4,CCc1cccc2c1cccc2,O
-3.52,CCCC(=O)C,O
-4.61,c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl,O
-2.45,CCC[N@@](CC1CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],O
-6.69,CC(=O)O,O
-3.5,CC=O,O
-8.84,c1cc(cc(c1)[N+](=O)[O-])N,O
0.29,CCCCC#C,O
-6.12,COc1ccccc1N,O
-6.6,c1ccc(cc1)O,O
-3.84,CCC#N,O
-7.67,c1ccc2c(c1)cccc2O,O
-2.64,CCCCOC(=O)C,O
-9.84,CC(C)(/C=N\OC(=O)NC)SC,O
-5.9,Cc1ccccc1O,O
-2.86,CC(C)C=O,O
-9.4,CCC(=O)N,O
-0.56,CCCBr,O
-0.25,CC(C)Cl,O
-1.89,C(CCl)CCl,O
-10.64,c1cc(ccc1[N+](=O)[O-])O,O
-1.27,C[C@@H](CCl)Cl,O
-5.9,c1cc(ccc1N)Cl,O
-9.44,c1ccc2c(c1)C(=O)c3cccc(c3C2=O)N,O
-4.82,Cc1cccnc1C,O
-6.02,c1cnccc1C#N,O
-4.37,CCOP(=S)(OCC)SCSCC,O
-3.9,CC(=O)C1CCCCC1,O
-3.93,Cc1ccccc1C=O,O
-7.62,CC(=O)c1ccncc1,O
-3.71,c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,O
-3.8,CC(=O)C,O
1.16,CC(=C)C,O
-3.61,c1cc(c(cc1Cl)c2cc(c(c(c2)Cl)Cl)Cl)Cl,O
-2.82,CCCCC[N+](=O)[O-],O
-3.68,CCC/C=C/C=O,O
-11.95,CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-],O
-3.47,C1CCOC1,O
2.88,CCCCCCCC,O
-3.25,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],O
-2.49,CC(=CCC[C@](C)(C=C)OC(=O)C)C,O
-4.29,C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],O
-0.53,CC(C)OC(C)C,O
2.93,CCCCC(C)C,O
-5.22,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O,O
-0.11,[C@@H](C(F)(F)F)(Cl)Br,O
-0.83,CCCCOCCCC,O
2.55,CCCCCC1CCCC1,O
2.83,CC(C)CC(C)C,O
-4.72,Cc1ccc(nc1)C,O
-4.22,C/C=C/C=O,O
2.71,CCC[C@H](C)CC,O
-1.96,c1cc(c(c(c1)Cl)c2c(cc(cc2Cl)Cl)Cl)Cl,O
-1.29,c1ccc(cc1)O[C@@H](C(F)F)F,O
-4.84,COCCOC,O
-0.45,CC[C@H](C)c1ccccc1,O
-6.92,c1ccc(cc1)CCCO,O
-6.23,CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],O
-5.33,COc1ccc(cc1)C(=O)OC,O
-7.78,CCC(=O)Nc1ccc(c(c1)Cl)Cl,O
-10.21,C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,O
3.43,C1(C(C(C1(F)F)(F)F)(F)F)(F)F,O
-2.21,CC(C)CCOC(=O)C,O
0.0,CCCCCCCl,O
-3.05,CC(C)CC(=O)C,O
-2.81,CCCCCC=O,O
-5.82,c1cc(cc(c1)Cl)N,O
-7.17,C1COCCN1,O
-3.28,CCOC(C)OCC,O
-3.51,CCCC[N@](CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],O
-1.2,CS,O
-4.23,C1[C@@H]2[C@H](COS(=O)O1)[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl,O
-4.4,CC(=O)c1ccc(cc1)OC,O
-5.03,C=CCO,O
-1.5,CCSC,O
-2.51,CCCCCOC(=O)C,O
-1.62,c1c(cc(c(c1Cl)Cl)Cl)Cl,O
-4.58,CC(=O)c1ccccc1,O
-0.63,CCCl,O
2.13,CCCC1CCCC1,O
-0.78,c1c(cc(cc1Cl)Cl)Cl,O
-9.37,CCCOC(=O)c1ccc(cc1)O,O
-6.62,c1cc(cc(c1)Cl)O,O
-4.42,CC(C)CCO,O
-4.09,CCCCCN,O
-11.14,Cc1c(c(=O)n(c(=O)[nH]1)C(C)(C)C)Cl,O
2.93,CC(C)CCC(C)(C)C,O
-6.25,CCCCOCCO,O
-4.82,C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,O
-11.0,c1ccc(cc1)C(=O)N,O
-3.13,CC(C)[N+](=O)[O-],O
-13.43,C(C(CO)O)O,O
-0.53,CCCI,O
-6.55,COCCN,O
-1.43,C(C(Cl)(Cl)Cl)Cl,O
-2.93,CCC(=O)OC,O
1.2,C1CCCC1,O
-4.59,CCc1cccnc1,O
-4.84,Cc1cc(cnc1)C,O
-6.619999999999999,COCCO,O
-2.78,COC=O,O
-7.47,c1ccc2cc(ccc2c1)N,O
-10.27,Cc1c[nH]cn1,O
-3.45,Cc1cccc(c1)[N+](=O)[O-],O
-2.32,C(CCCl)CCl,O
-5.99,CC(=O)CO[N+](=O)[O-],O
-0.44,CC(C)(C)c1ccccc1,O
-2.49,CCCCCC(=O)OC,O
-4.16,C[C@@H](C(F)(F)F)O,O
-0.1,CCCCCBr,O
1.92,CCCCCCC=C,O
-4.51,CC1=CC(=O)[C@@H](CC1)C(C)C,O
-4.74,CC(C)O,O
-3.95,CCCCCCN,O
-4.8,C(CO[N+](=O)[O-])CO[N+](=O)[O-],O
-6.01,Cc1ccc(c(c1)C)O,O
-4.57,CCCCCO,O
-4.39,CCC[C@@H](C)O,O
2.97,CCCC[C@@H](C)CC,O
-7.0,C[C@@H](c1ccc(cc1)CC(C)C)C(=O)O,O
-8.15,CCOC(=O)C[C@H](C(=O)OCC)SP(=S)(OC)OC,O
-6.5,Cc1ccc(cc1C)O,O
-6.79,Cc1cc(ccc1Cl)O,O
1.68,CCCC/C=C/C,O
-1.16,CCCOCCC,O
-3.2,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,O
-6.68,CCNc1nc(nc(n1)SC)NC(C)(C)C,O
2.89,CC(C)CC(C)(C)C,O
-2.64,CCCCC(=O)CCCC,O
-3.64,CCCCN(CC)C(=O)SCCC,O
1.66,CCCCCC=C,O
-2.02,CC(C)OC=O,O
-4.97,CC(OC(=O)C)OC(=O)C,O
-17.74,c1c(c(=O)[nH]c(=O)[nH]1)Cl,O
-1.24,CC(=C)c1ccccc1,O
2.38,CCC(C)C,O
-2.09,CCCCO[N+](=O)[O-],O
-1.46,c1ccc(cc1)Br,O
-0.19,CC(Cl)(Cl)Cl,O
-4.09,CC(=C)[C@H]1CCC(=CC1)C=O,O
-3.58,Cc1ccccc1[N+](=O)[O-],O
0.27,CCCCCCCI,O
